CDREDE;DE;CODMUN;MUN;CATEG;COD_ESC;TIPOESC;CODVINC;NOMESC;ENDESC;BAIESC;EMAIL;FONE1;ZONA;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO;EJA FUNDAMENTAL_AI;EJA ENSINO MÉDIO;EJA FUNDAMENTAL_AF;EJA FUNDAMENTAL_MULTI
10101;NORTE 1;100;SAO PAULO;1;103;8;NULL;JOAO BOEMER JARDIM PROFESSOR;CRISTOVAO SANTIAGO;JARDIM ONDINA;E000103A@EDUCACAO.SP.GOV.BR;38513079;1;0;0;0;1028;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;139;8;NULL;MARIANO DE OLIVEIRA PROFESSOR;RUA ALMIRANTE ISAIAS DE NORONHA;VILA PEREIRA BARRETO;E000139A@EDUCACAO.SP.GOV.BR;39757083;1;0;0;0;0;269;1093;0;332;0;0
10101;NORTE 1;100;SAO PAULO;1;197;8;NULL;AGENOR COUTO DE MAGALHAES DOUTOR;GUILHERME MANKEL;VILA CLARICE;E000197A@EDUCACAO.SP.GOV.BR;39013235;1;0;0;0;0;212;469;0;174;0;0
10101;NORTE 1;100;SAO PAULO;1;206;8;NULL;ALIPIO DE BARROS PROFESSOR;AVENIDA COMENDADOR FEIZ ZARZUR;JARDIM CIDADE PIRITUBA;E000206A@EDUCACAO.SP.GOV.BR;39727243;1;0;21;0;533;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;218;8;NULL;ANTONIO FRANCISCO REDONDO PROFESSOR;EVANDRO DANTON FERREIRA GANDRA;VILA MANGALOT;E000218A@EDUCACAO.SP.GOV.BR;39045011;1;0;0;0;0;0;860;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;231;8;NULL;CHIQUINHA RODRIGUES;CAIAPE;VILA PENTEADO;E000231A@EDUCACAO.SP.GOV.BR;38510101;1;0;28;0;914;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;243;8;NULL;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;JERIMANDUBA;JARAGUA;E000243A@EDUCACAO.SP.GOV.BR;39411734;1;0;26;0;454;0;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;255;8;NULL;CLODOMIRO CARNEIRO;MANOEL DE SOUZA AZEVEDO;SITIO MORRO GRANDE;E000255A@EDUCACAO.SP.GOV.BR;39714181;1;0;0;0;0;339;65;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;620;8;NULL;ANTONIO EMILIO SOUZA PENNA PROFESSOR;CAROLINA MARIA DO CARMO;VILA ALBERTINA;E000620A@EDUCACAO.SP.GOV.BR;39312893;1;0;0;0;0;317;106;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;37102;8;NULL;MARTIN EGIDIO DAMY;PAULO GARCIA AQUILINE;BRASILANDIA;E037102A@EDUCACAO.SP.GOV.BR;39213300;1;0;0;0;0;0;647;0;128;0;0
