,Banco,Pontos
0,Oracle,1231.05
1,MySQL,987.11
2,Microsoft SQL Server,785.01
3,PostgreSQL ,667.25
4,MongoDB ,400.05
5,Snowflake,168.09
6,Redis,154.11
7,Elasticsearch,128.08
8,IBM Db2,126.04
9,SQLite,114.09
10,Apache Cassandra,108.21
11,Databricks,99.29
12,Microsoft Access,95.36
13,MariaDB,94.34
14,Amazon DynamoDB,76.49
15,Microsoft Azure SQL Database,75.37
16,Splunk,73.38
17,Apache Hive,72.65
18,Google BigQuery,60.73
19,Neo4j,47.59
20,FileMaker,36.48
21,Teradata,34.08
22,SAP HANA,33.4
23,Apache Solr,32.4
24,SAP Adaptive Server,28.79
25,Microsoft Azure Cosmos DB,22.55
26,Apache HBase,22.12
27,InfluxDB,21.54
28,Apache Spark (SQL),20.4
29,PostGIS,19.61
30,ClickHouse,18.73
31,OpenSearch,17.19
32,Firebird,16.74
33,Informix,15.08
34,Memcached,14.97
35,Microsoft Azure Synapse Analytics,14.36
36,Amazon Redshift,14.15
37,Couchbase,14.04
38,Firebase Realtime Database,13.15
39,Apache Flink,11.41
40,Apache Impala,11.22
41,Vertica,9.85
42,Greenplum,7.49
43,DuckDB,7.39
44,Google Cloud Firestore,7.34
45,Amazon Aurora,7.33
46,dBASE,7.29
47,H2,7.19
48,CouchDB,7.17
49,etcd,7.05
50,Realm,6.76
51,Netezza,6.55
52,Kdb,6.49
53,Prometheus,6.48
54,Presto,6.29
55,Sphinx,5.79
56,Hazelcast,5.55
57,Algolia,5.41
58,Aerospike ,5.23
59,Trino,5.18
60,Oracle Essbase,5.13
61,Microsoft Azure AI Search,5.13
62,Graphite,4.26
63,Apache Jackrabbit,4.25
64,CockroachDB,4.17
65,MarkLogic,4.13
66,Datastax Enterprise,3.94
67,Ehcache,3.94
68,SingleStore,3.93
69,ScyllaDB,3.7
70,Google Cloud Datastore,3.7
71,TimescaleDB,3.59
72,TiDB,3.5
73,OpenEdge,3.46
74,Oracle NoSQL,3.43
75,Interbase,3.38
76,Pinecone,3.34
77,Ingres,3.28
78,Riak KV,3.24
79,RocksDB,3.14
80,QuestDB,3.12
81,Apache Ignite,3.1
82,Apache Derby,3.07
83,Apache Druid,3.05
84,Microsoft Azure Data Explorer,2.94
85,Virtuoso,2.93
86,Milvus,2.9
87,SAP SQL Anywhere,2.9
88,ArangoDB,2.82
89,Adabas,2.76
90,OrientDB,2.71
91,HyperSQL,2.7
92,Google Cloud Bigtable,2.67
93,Microsoft Azure Table Storage,2.63
94,GraphDB,2.57
95,Memgraph,2.57
96,Google Cloud Spanner,2.56
97,RavenDB,2.5
98,IBM Cloudant,2.5
99,Apache Accumulo,2.45
100,Apache Jena - TDB,2.44
101,GemFire,2.41
102,SAP IQ,2.34
103,OceanBase,2.32
104,RethinkDB,2.27
105,Qdrant,2.23
106,YugabyteDB,2.23
107,Coveo,2.22
108,DolphinDB,2.2
109,InterSystems IRIS,2.2
110,Amazon Neptune,2.11
111,PouchDB,2.07
112,"UniData,UniVerse",2.01
113,GridDB ,2.0
114,Citus,1.99
115,Infinispan,1.98
116,MaxDB,1.96
117,Percona Server for MySQL,1.92
118,Chroma,1.9
119,LevelDB,1.9
120,Apache Drill,1.89
121,4D,1.89
122,Weaviate ,1.86
123,Apache Phoenix,1.81
124,Amazon DocumentDB,1.79
125,CloudKit,1.78
126,LMDB,1.75
127,IMS,1.72
128,Oracle Berkeley DB,1.71
129,JanusGraph,1.7
130,TDengine ,1.66
131,Oracle Coherence,1.66
132,EDB Postgres,1.64
133,Amazon SimpleDB,1.63
134,Amazon CloudSearch,1.62
135,NebulaGraph,1.61
136,Stardog,1.58
137,MonetDB,1.57
138,RRDtool,1.55
139,EXASOL,1.51
140,SpatiaLite,1.5
141,GBase,1.49
142,Datomic,1.48
143,Tarantool,1.47
144,Fauna,1.46
145,OpenTSDB,1.41
146,TigerGraph,1.41
147,Apache IoTDB,1.4
148,VictoriaMetrics,1.34
149,BaseX,1.34
150,GridGain,1.32
151,D3,1.32
152,jBASE,1.31
153,Geode,1.31
154,Alibaba Cloud PolarDB,1.29
155,Tibero,1.27
156,Empress,1.25
157,Actian NoSQL Database,1.24
158,HFSQL,1.22
159,Amazon Timestream,1.22
160,VoltDB,1.21
161,IBM Db2 warehouse,1.19
162,Db4o,1.19
163,Dgraph,1.19
164,ObjectStore,1.18
